date,modelAcc,bpiAcc,upsetAcc
2016-01-15,0.75,0.75,0.5
2016-01-17,0.588235294117647,0.588235294117647,0.285714285714286
2016-01-18,0.518518518518519,0.740740740740741,0.142857142857143
2016-01-19,0.735294117647059,0.705882352941177,0.2
2016-01-20,0.575,0.675,0.153846153846154
2016-01-21,0.681818181818182,0.651515151515151,0.434782608695652
2016-01-22,0.9,0.9,0
2016-01-24,0.533333333333333,0.511111111111111,0.227272727272727
2016-01-25,0.730769230769231,0.653846153846154,0.444444444444444
2016-01-26,0.666666666666667,0.62962962962963,0.3
2016-01-27,0.714285714285714,0.673469387755102,0.375
2016-01-28,0.627118644067797,0.694915254237288,0.222222222222222
2016-01-29,0.75,0.666666666666667,0.25
2016-01-31,0.608695652173913,0.565217391304348,0.2
2016-02-01,0.517241379310345,0.551724137931034,0.230769230769231
